MiniBooNE nu mode flux
Based on april07_baseline_rgen610.6_flux.root
Elo: Lower bin edge in GeV
Ehi: Upper bin edge in GeV
numu flux    (numu/cm^2/proton-on-target/50 MeV)
numubar flux (numubar/cm^2/proton-on-target/50 MeV)
nue flux     (nue/cm^2/proton-on-target/50 MeV)
nuebar flux  (nuebar/cm^2/proton-on-target/50 MeV)
  Elo   Ehi       numu      numub        nue       nueb
 6.10  6.15  3.967e-15  6.390e-20  2.147e-18  4.251e-19
 6.15  6.20  3.492e-15  4.695e-20  2.322e-18  4.221e-19
 6.20  6.25  3.037e-15  2.734e-20  1.548e-18  3.999e-19
 6.25  6.30  2.595e-15  3.940e-20  1.282e-18  3.749e-19
 6.30  6.35  2.225e-15  2.067e-20  1.049e-18  1.223e-19
 6.35  6.40  1.854e-15  2.327e-20  8.226e-19  2.968e-19
 6.40  6.45  1.537e-15  2.294e-20  8.297e-19  7.318e-20
 6.45  6.50  1.220e-15  1.385e-20  6.143e-19  1.551e-20
 6.50  6.55  9.780e-16  1.932e-21  8.553e-19  3.392e-19
 6.55  6.60  7.842e-16  8.299e-21  4.705e-19  2.261e-19
 6.60  6.65  6.198e-16  5.854e-21  4.387e-19  1.258e-19
 6.65  6.70  4.786e-16  1.843e-21  5.170e-19  9.574e-20
 6.70  6.75  3.334e-16  0.000e+00  3.049e-19  8.005e-20
 6.75  6.80  1.971e-16  1.783e-21  1.612e-19  4.006e-20
 6.80  6.85  9.391e-17  4.490e-21  1.606e-19  1.595e-19
 6.85  6.90  2.738e-17  4.205e-21  1.181e-19  0.000e+00
 6.90  6.95  6.065e-18  0.000e+00  1.960e-19  3.208e-19
 6.95  7.00  4.135e-18  0.000e+00  7.793e-20  1.196e-19
 7.00  7.05  1.933e-18  0.000e+00  1.571e-19  1.993e-19
 7.05  7.10  9.888e-19  0.000e+00  1.169e-19  1.595e-19
 7.10  7.15  4.494e-20  0.000e+00  0.000e+00  3.987e-20
 7.15  7.20  0.000e+00  1.211e-21  0.000e+00  0.000e+00
 7.20  7.25  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.25  7.30  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.30  7.35  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.35  7.40  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.40  7.45  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.45  7.50  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.50  7.55  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.55  7.60  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.60  7.65  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.65  7.70  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.70  7.75  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.75  7.80  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.80  7.85  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.85  7.90  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.90  7.95  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 7.95  8.00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.00  8.05  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.05  8.10  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.10  8.15  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.15  8.20  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.20  8.25  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.25  8.30  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.30  8.35  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.35  8.40  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.40  8.45  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.45  8.50  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.50  8.55  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.55  8.60  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.60  8.65  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.65  8.70  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.70  8.75  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.75  8.80  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.80  8.85  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.85  8.90  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.90  8.95  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 8.95  9.00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.00  9.05  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.05  9.10  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.10  9.15  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.15  9.20  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.20  9.25  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.25  9.30  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.30  9.35  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.35  9.40  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.40  9.45  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.45  9.50  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.50  9.55  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.55  9.60  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.60  9.65  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.65  9.70  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.70  9.75  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.75  9.80  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.80  9.85  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.85  9.90  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.90  9.95  0.000e+00  0.000e+00  0.000e+00  0.000e+00
 9.95 10.00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
